Start_RT,Return_RT,Position,Trial_Type,Reward,Direction,Trial,Actual_Interval,PES_PRS_index,Condition_Direction_index,Sum_RT_interval,Earned,Vel_Cond,Vel_Dir_Index,Previous_RT,RT_DIFF,SubjectCode,TrialIndex,FCz,Cz,FC2,FC1,F4,F5,C4,C3,P4,P3,P8,P7,Pz,subject,choice,outcome_binary,outcome_mag,reward_level,reward_level_num,stay_shift,cond_dir,is_reward,rpe_binary,abs_rpe_binary,chosen_q_binary,rpe_mag,abs_rpe_mag,chosen_q_mag,best_model
2.1342,2.5666,0.3,2,1,2,18,2.3667,1,2,4.9333,0.05,3,6,1.9659,-0.1682999999999999,ARV_0053,18,3.346062608,4.930194621,1.630720211,2.046235949,-2.182902517,0.832870105,-1.970237525,4.410465741,-0.832035368,-3.749016945,-3.515254618,-6.611793015,1.664501946,ARV_0053,1,1.0,0.05,low_rew,1,stay,rew_shift,1,0.49950697504894315,0.49950697504894315,0.5004930249510569,-0.44538226059848973,0.44538226059848973,0.4953822605984897,random
2.3667,2.5671,0.31,4,2,2,19,3.4995,1,1,6.0666,0.0,2,5,2.1342,-0.23249999999999993,ARV_0053,19,17.2309799,2.802669671,0.112484754,11.55985976,6.040015516,9.889669671,2.492983794,-7.781931974,-2.958993793,-8.879230235,-12.42752662,-15.12709394,-2.953772622,ARV_0053,1,0.0,0.0,no_rew,0,stay,rew_stay,0,-0.5009925319261058,0.5009925319261058,0.5009925319261058,-0.4947832516880356,0.4947832516880356,0.4947832516880356,random
3.4995,2.9017,0.29,3,2,1,20,2.7335,2,4,5.6352,0.0,2,4,2.3667,-1.1328,ARV_0053,20,1.11368238,1.932647604,4.404116497,1.678144229,-0.360976701,-0.114579085,0.273720112,5.476260628,-2.040105906,-0.420294665,-8.708979114,-3.020722575,-0.212957982,ARV_0053,0,0.0,0.0,no_rew,0,shift,norew_shift,0,-0.501002986023977,0.501002986023977,0.501002986023977,-0.4957844768345371,0.4957844768345371,0.4957844768345371,random
2.7335,2.8667,0.36,1,1,1,21,3.1008,2,3,5.9675,0.25,1,3,3.4995,0.766,ARV_0053,21,6.202668243,4.546949362,1.545286833,3.532534998,-5.112307817,-1.7921063,-1.562664647,0.164004384,0.720981232,-0.780026994,-4.105919314,-7.478955519,4.119808482,ARV_0053,0,1.0,0.25,high_rew,2,shift,norew_stay,1,0.499498016962047,0.499498016962047,0.500501983037953,-0.24511768036426534,0.24511768036426534,0.49511768036426534,random
3.1008,2.3998,0.34,2,1,2,22,3.899,1,2,6.2988,0.25,1,2,2.7335,-0.3673000000000002,ARV_0053,22,-7.866552042,1.374011822,-4.655851485,-6.579773755,-5.242248214,-5.096564406,-3.480299197,0.67120132,7.01096015,5.105481848,6.902800798,3.035527757,8.821246146,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_shift,1,0.4995084606058203,0.4995084606058203,0.5004915393941797,-0.24411780179762832,0.24411780179762832,0.4941178017976283,random
3.899,2.7003,0.32,2,1,2,23,5.4074,1,1,8.1077,0.25,1,1,3.1008,-0.7982,ARV_0053,23,3.56100266,0.013293335,-2.275400719,2.617207674,0.921731737,4.242411261,0.984680902,-6.432643318,0.682920497,0.735766957,-5.336301069,-1.378359145,1.663778632,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_stay,1,0.49900895214521446,0.49900895214521446,0.5009910478547855,-0.24378947992355826,0.24378947992355826,0.49378947992355826,random
5.4074,3.1644,0.29,1,1,1,24,4.3672,1,2,7.5316,0.25,1,2,3.899,-1.5084,ARV_0053,24,-3.71218605,3.118439486,-1.024788828,2.273865081,-2.542152751,4.960734644,-6.351084528,3.272695779,-0.49886976,-1.102143096,0.43948037,1.389886459,-0.223896705,ARV_0053,0,1.0,0.25,high_rew,2,stay,rew_shift,1,0.49899851894508496,0.49899851894508496,0.501001481054915,-0.2447880137213893,0.2447880137213893,0.4947880137213893,random
4.3672,2.733,0.28,3,2,1,25,3.5987,1,1,6.3317,0.0,2,1,5.4074,1.0401999999999996,ARV_0053,25,6.852554258,2.323398946,2.832717255,2.398017438,-0.998775134,-1.710488153,5.734860992,-4.289469139,3.009188316,-3.671619969,-5.045181124,-7.457946899,0.022697798,ARV_0053,0,0.0,0.0,no_rew,0,stay,rew_stay,0,-0.5015004795738601,0.5015004795738601,0.5015004795738601,-0.494458790457772,0.494458790457772,0.494458790457772,random
3.5987,2.9989,0.32,2,1,2,26,3.5345,2,4,6.5334,0.25,1,4,4.3672,0.7685000000000004,ARV_0053,26,-0.960930792,6.587739175,2.408314073,-0.445471356,-6.152061623,-6.261957046,-0.071040047,-1.262998818,2.992146446,1.763143392,-1.394505492,-3.628134575,6.425850993,ARV_0053,1,1.0,0.25,high_rew,2,shift,norew_shift,1,0.4985099431930693,0.4985099431930693,0.5014900568069307,-0.2434615996201242,0.2434615996201242,0.4934615996201242,random
3.5345,2.6984,0.4,3,2,1,27,2.5996,1,2,5.298,0.0,2,2,3.5987,0.06420000000000003,ARV_0053,27,4.275654894,1.220609822,1.536524309,4.069397764,5.177891188,3.623241564,1.524626275,-1.442744988,-2.269381508,-4.167737156,-5.123584503,-7.436440914,-0.988324368,ARV_0053,0,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.5009989790942863,0.5009989790942863,0.5009989790942863,-0.49379377694569687,0.49379377694569687,0.49379377694569687,random
