rpe_type,channel,mean_r,mean_z,sd_z,t,p,wilcoxon_p,n_subjects,pct_positive
rpe_best,FCz,,,,,,,43,16.27906976744186
rpe_best,Cz,,,,,,,43,11.627906976744185
rpe_best,Pz,,,,,,,43,4.651162790697675
rpe_best,FC1,,,,,,,43,16.27906976744186
rpe_best,FC2,,,,,,,43,13.953488372093023
rpe_rw,FCz,0.010047620062758373,0.010201176257025367,0.08367558043267326,0.7900892685618165,0.43391403390994765,0.5298736895283582,43,58.139534883720934
rpe_rw,Cz,0.0025848126874029416,0.0025856617978121206,0.07504526014122986,0.22329196559334932,0.8243907822412025,0.7879838982482852,43,55.81395348837209
rpe_rw,Pz,-0.007968274374726749,-0.008032584104673713,0.08545676783294211,-0.6091629257767913,0.5456976791122966,0.6799748889393413,43,48.837209302325576
rpe_rw,FC1,0.015340474987463763,0.01549442245990918,0.08017360304198744,1.2524737622390514,0.21732662562643806,0.3051784201045393,43,55.81395348837209
rpe_rw,FC2,-0.0019219132932047943,-0.0019380003234394927,0.060787649559010754,-0.2066156145328398,0.837308470429752,0.862427443999195,43,48.837209302325576
abs_rpe_best,FCz,,,,,,,43,11.627906976744185
abs_rpe_best,Cz,,,,,,,43,11.627906976744185
abs_rpe_best,Pz,,,,,,,43,11.627906976744185
abs_rpe_best,FC1,,,,,,,43,9.30232558139535
abs_rpe_best,FC2,,,,,,,43,11.627906976744185
abs_rpe_rw,FCz,-0.0036821220620611743,-0.0035729099147835705,0.07340790752851592,-0.315430632421828,0.753996740301798,0.4542899319753815,43,39.53488372093023
abs_rpe_rw,Cz,0.010074506995345617,0.010115206942915792,0.07136828965474207,0.9185316563546985,0.3635857339346567,0.42581320927024535,43,55.81395348837209
abs_rpe_rw,Pz,-0.00948723995208649,-0.009573830649850045,0.06901483042396041,-0.8990171177846863,0.37376904389620064,0.4119664857769294,43,41.86046511627907
abs_rpe_rw,FC1,0.0007574415357337865,0.0008235436338809367,0.07619846151875409,0.07004305124576951,0.9444918382263818,0.7514183122357281,43,46.51162790697674
abs_rpe_rw,FC2,0.018377069654568052,0.018537086018358226,0.0812907120603326,1.477832396152466,0.14691309218305795,0.1722401606295989,43,58.139534883720934
rpe_rw_reward,FCz,0.020443410374307264,0.021407046404469093,0.12026464676487986,1.153568572295196,0.25519964561566594,0.6112406778204331,43,51.162790697674424
rpe_rw_reward,Cz,0.026872406104090214,0.027444575603002362,0.11820499777767982,1.5046840777022856,0.13988906078846378,0.1722401606295989,43,60.46511627906976
rpe_rw_noreward,FCz,0.03157053456312837,0.03190067618173157,0.09482982331539393,2.1801159509712758,0.03490363605510786,0.053495664069259874,43,60.46511627906976
rpe_rw_noreward,Cz,0.0012044284327172138,0.0012137110571029787,0.08783884478688202,0.08954747370550101,0.9290724953828212,0.9190948495081557,43,53.48837209302325
