subject,rpe_type,channel,r,p,z,n_trials,best_model
ARV_0011,rpe_rw,F5,0.006375294535720425,0.9456107853878697,0.006375380911125633,117,wsls
ARV_0011,rpe_rw,C4,-0.010184643149956589,0.9132153485804522,-0.01018499531255171,117,wsls
ARV_0011,rpe_rw,C3,-0.11426258351572777,0.21993873548615353,-0.11476378400062641,117,wsls
ARV_0011,rpe_rw,P4,-0.04129081168506794,0.6584734882222057,-0.04131430171582119,117,wsls
ARV_0011,rpe_rw,P3,-0.05282748596624705,0.5716135407591538,-0.05287671106771816,117,wsls
ARV_0011,rpe_rw,P8,0.06612423712116346,0.4787344835550826,0.06622086494250731,117,wsls
ARV_0011,rpe_rw,P7,0.021729885256088877,0.8161120141584567,0.02173330642179241,117,wsls
ARV_0011,rpe_rw,Pz,-0.017797695561557265,0.8489489499243167,-0.017799575106076198,117,wsls
ARV_0011,abs_rpe_best,FCz,,,,117,wsls
ARV_0011,abs_rpe_best,Cz,,,,117,wsls
ARV_0011,abs_rpe_best,FC2,,,,117,wsls
ARV_0011,abs_rpe_best,FC1,,,,117,wsls
ARV_0011,abs_rpe_best,F4,,,,117,wsls
ARV_0011,abs_rpe_best,F5,,,,117,wsls
ARV_0011,abs_rpe_best,C4,,,,117,wsls
ARV_0011,abs_rpe_best,C3,,,,117,wsls
ARV_0011,abs_rpe_best,P4,,,,117,wsls
ARV_0011,abs_rpe_best,P3,,,,117,wsls
ARV_0011,abs_rpe_best,P8,,,,117,wsls
ARV_0011,abs_rpe_best,P7,,,,117,wsls
ARV_0011,abs_rpe_best,Pz,,,,117,wsls
ARV_0011,abs_rpe_rw,FCz,-0.10817703664613422,0.24565777044781117,-0.1086019968023585,117,wsls
ARV_0011,abs_rpe_rw,Cz,-0.07247906964287903,0.4374031738813122,-0.07260638723875158,117,wsls
ARV_0011,abs_rpe_rw,FC2,0.10170789528285719,0.27520262240222154,0.10206079385822908,117,wsls
ARV_0011,abs_rpe_rw,FC1,-0.06276517108423214,0.5014034132238162,-0.06284778688347019,117,wsls
ARV_0011,abs_rpe_rw,F4,-0.029171807920169004,0.7548733689329942,-0.02918008716277255,117,wsls
ARV_0011,abs_rpe_rw,F5,-0.05037631348385135,0.5896140665554191,-0.050418993038066844,117,wsls
ARV_0011,abs_rpe_rw,C4,0.09120929805992085,0.3280608276774298,0.09146349561378239,117,wsls
ARV_0011,abs_rpe_rw,C3,0.01798776072865841,0.8473553094181109,0.017989701142547863,117,wsls
ARV_0011,abs_rpe_rw,P4,0.050983836916672604,0.5851286570031524,0.0510280809137645,117,wsls
ARV_0011,abs_rpe_rw,P3,0.04886247981277914,0.600858339824248,0.048901422687843324,117,wsls
ARV_0011,abs_rpe_rw,P8,-0.006209405742506414,0.9470239420572825,-0.006209485549124859,117,wsls
ARV_0011,abs_rpe_rw,P7,0.09667545325274181,0.29977843934783793,0.09697833441675059,117,wsls
ARV_0011,abs_rpe_rw,Pz,-0.06199846558850148,0.5066550959941347,-0.062078086065440054,117,wsls
ARV_0011,rpe_rw_reward,FCz,-0.1463762344815549,0.2908886307280686,-0.14743530230937993,54,wsls
ARV_0011,rpe_rw_noreward,FCz,0.09050103192324896,0.4805646559193361,0.09074933428660296,63,wsls
ARV_0011,rpe_rw_reward,Cz,-0.06373866658581813,0.6470328217541812,-0.06382519287449344,54,wsls
ARV_0011,rpe_rw_noreward,Cz,0.08941022440572657,0.4858916044294721,0.08964962781517613,63,wsls
ARV_0013,rpe_best,FCz,,,,198,random
ARV_0013,rpe_best,Cz,,,,198,random
ARV_0013,rpe_best,FC2,,,,198,random
ARV_0013,rpe_best,FC1,,,,198,random
ARV_0013,rpe_best,F4,,,,198,random
ARV_0013,rpe_best,F5,,,,198,random
ARV_0013,rpe_best,C4,,,,198,random
ARV_0013,rpe_best,C3,,,,198,random
ARV_0013,rpe_best,P4,,,,198,random
ARV_0013,rpe_best,P3,,,,198,random
ARV_0013,rpe_best,P8,,,,198,random
ARV_0013,rpe_best,P7,,,,198,random
ARV_0013,rpe_best,Pz,,,,198,random
ARV_0013,rpe_rw,FCz,-0.09227388281750327,0.19602907835590216,-0.0925371166283202,198,random
ARV_0013,rpe_rw,Cz,-0.08556481830423016,0.23069132372850784,-0.08577455673996004,198,random
ARV_0013,rpe_rw,FC2,-0.04595330035643343,0.5203111326888258,-0.045985688019450424,198,random
ARV_0013,rpe_rw,FC1,-0.029136674227131003,0.6836554688928008,-0.02914492358174995,198,random
ARV_0013,rpe_rw,F4,-0.10026005215495587,0.1599037853153061,-0.1005980335817216,198,random
ARV_0013,rpe_rw,F5,-0.042866166197334674,0.5487481325394402,-0.042892450826386,198,random
ARV_0013,rpe_rw,C4,-0.09199701752480181,0.19738005053009222,-0.09225788091825633,198,random
ARV_0013,rpe_rw,C3,-0.06805642357923831,0.34075197199645313,-0.06816178832972511,198,random
ARV_0013,rpe_rw,P4,0.06642704923472775,0.352463908663688,0.06652501301695503,198,random
ARV_0013,rpe_rw,P3,0.07302341230958516,0.3065962188165057,0.07315362631508335,198,random
ARV_0013,rpe_rw,P8,0.07979204036880007,0.2638031087595838,0.07996202939323295,198,random
ARV_0013,rpe_rw,P7,0.1280646699093378,0.0721721129493931,0.12877175173790287,198,random
ARV_0013,rpe_rw,Pz,0.016578011444058426,0.8166838423596128,0.016579530408730312,198,random
ARV_0013,abs_rpe_best,FCz,,,,198,random
ARV_0013,abs_rpe_best,Cz,,,,198,random
ARV_0013,abs_rpe_best,FC2,,,,198,random
ARV_0013,abs_rpe_best,FC1,,,,198,random
ARV_0013,abs_rpe_best,F4,,,,198,random
ARV_0013,abs_rpe_best,F5,,,,198,random
ARV_0013,abs_rpe_best,C4,,,,198,random
ARV_0013,abs_rpe_best,C3,,,,198,random
ARV_0013,abs_rpe_best,P4,,,,198,random
ARV_0013,abs_rpe_best,P3,,,,198,random
ARV_0013,abs_rpe_best,P8,,,,198,random
ARV_0013,abs_rpe_best,P7,,,,198,random
ARV_0013,abs_rpe_best,Pz,,,,198,random
ARV_0013,abs_rpe_rw,FCz,-0.0066701004741670485,0.9256942984041538,-0.006670199394932053,198,random
ARV_0013,abs_rpe_rw,Cz,0.0379196158022716,0.5958424297571182,0.037937806335777,198,random
ARV_0013,abs_rpe_rw,FC2,0.00891763099486861,0.9007688376447911,0.00891786739513461,198,random
ARV_0013,abs_rpe_rw,FC1,-0.03934348749636568,0.5821000034414864,-0.03936380643018867,198,random
ARV_0013,abs_rpe_rw,F4,-0.0719201625480627,0.31398120215061814,-0.0720445513998144,198,random
ARV_0013,abs_rpe_rw,F5,-0.012513036151428252,0.8611063066297717,-0.012513689293479534,198,random
ARV_0013,abs_rpe_rw,C4,-0.032118436624191844,0.6532867600759109,-0.03212948786042702,198,random
ARV_0013,abs_rpe_rw,C3,0.022581348865794933,0.7521723973178853,0.02258518824746333,198,random
ARV_0013,abs_rpe_rw,P4,-0.08509477775372035,0.2332723760053374,-0.08530106863096391,198,random
ARV_0013,abs_rpe_rw,P3,-0.023768132075822596,0.7396048601975566,-0.02377260932372977,198,random
ARV_0013,abs_rpe_rw,P8,0.03379227284439559,0.6364815990898489,0.03380514432932611,198,random
ARV_0013,abs_rpe_rw,P7,0.1053777812052208,0.1395348808788322,0.10577045585358466,198,random
ARV_0013,abs_rpe_rw,Pz,0.019000176245054342,0.7904799774582874,0.019002463137383237,198,random
ARV_0013,rpe_rw_reward,FCz,-0.09353839619493262,0.3724953287065065,-0.0938126399257161,93,random
ARV_0013,rpe_rw_noreward,FCz,-0.1149900605124061,0.2427777334772945,-0.11550094675577358,105,random
ARV_0013,rpe_rw_reward,Cz,0.15868137764244966,0.12870851117975793,0.160033722288856,93,random
ARV_0013,rpe_rw_noreward,Cz,-0.005520634002644424,0.9554271125829163,-0.005520690088526572,105,random
ARV_0014,rpe_best,FCz,,,,180,wsls
