,estimate,se,z,p,ci_lower,ci_upper
Intercept,2.749482615480232,0.2565849331902595,10.71568225497275,8.59214021397848e-27,2.2465853874517077,3.2523798435087565
rpe,0.05522217950490895,0.09341443999052504,0.591152497520834,0.5544182475514359,-0.12786675851249826,0.23831111752231618
Group Var,0.12037472843998484,0.02776381486398321,4.335669612757062,1.4531707133918822e-05,0.06595865123313993,0.17479080564682975
Group x rpe Cov,0.0025136050155887286,0.00739786091530821,0.3397745705636866,0.7340262995528678,-0.011985935941051882,0.01701314597222934
rpe Var,0.0005444342202066482,0.0037739003311584216,0.14426300973336273,0.8852927866653382,-0.006852274510107641,0.007941142950520938
