subject,r,p,z
ARV_0010,0.01741207752181109,0.8222172711974148,0.01741383750910759
ARV_0011,-0.18653800842980206,0.044968110661586,-0.1887479529858929
ARV_0013,-0.08789825145141052,0.21935747722733964,-0.08812567695694566
ARV_0014,0.028570721314066194,0.7042054179050297,0.028578499084801604
ARV_0015,-0.1531059433592712,0.032607967300393524,-0.15431939744347284
ARV_0016,-0.12788237491562907,0.09359575959334818,-0.12858642154993377
ARV_0019,-0.00448644813072876,0.951144502011189,-0.004486478232492554
ARV_0020,-0.023595844721941112,0.7420636902521218,-0.023600225290150028
ARV_0021,-0.31425020027553535,1.3977565102628562e-05,-0.3252543771614272
ARV_0023,-0.09915843094037825,0.17461998793581454,-0.09948535002489224
ARV_0024,-0.03698110447471786,0.6068326151887753,-0.036997976800227324
ARV_0025,-0.2728844106878843,0.00010899336729953613,-0.27997766694792037
ARV_0026,-0.060578294325672286,0.4339842507736025,-0.06065255990464116
ARV_0027,-0.08619665640408361,0.23329143092070856,-0.08641108961047311
ARV_0029,-0.13988330267658863,0.04993606307412092,-0.14080654773581194
ARV_0030,-0.14803401011562822,0.03992460037722751,-0.14912979696023154
ARV_0031,-0.05432599801938854,0.4676214526694865,-0.05437953721861661
ARV_0033,-0.11081719659050915,0.15905045737754525,-0.11127419703576252
ARV_0034,-0.3038795948858376,2.3572780353642575e-05,-0.31378838089357447
ARV_0035,-0.24608071103048756,0.0005076038803741624,-0.2512365774430531
ARV_0036,-0.17026789446501533,0.019160249604505974,-0.17194254346757892
ARV_0037,-0.3675545016888767,1.5673284182121468e-07,-0.3855926701368986
ARV_0038,-0.22787159814013064,0.0012798854653432957,-0.23194334080888745
ARV_0039,-0.07201058086473165,0.32477473006086094,-0.07213544043218353
ARV_0040,-0.022825780978395528,0.7577779104102532,-0.02282974641924864
ARV_0041,-0.1045545761090495,0.16247202790817236,-0.10493807967189407
ARV_0042,-0.34545957782845066,1.2832414187281694e-06,-0.36027879169877236
ARV_0043,-0.20434573618011553,0.004364204276738617,-0.20726349569364064
ARV_0044,-0.18579862568495847,0.009874428744893724,-0.18798202414752677
ARV_0045,-0.2132853608413479,0.0028999227311960717,-0.21661077196968026
ARV_0047,0.039273651555588436,0.5866524769538497,0.03929386241443297
ARV_0048,-0.166189663466227,0.02887004996897664,-0.16774552652459562
ARV_0049,-0.18158272230996864,0.011937553070565382,-0.18361889143268098
ARV_0050,-0.2589942759564854,0.0002971136643023089,-0.26503006875633434
ARV_0051,-0.12732949187692785,0.0768535267083557,-0.12802438672884467
ARV_0052,-0.13808975014781893,0.09195340460225469,-0.1389776656983339
ARV_0053,-0.10259125515012196,0.15141212866525577,-0.10295346843070026
ARV_0054,-0.06135309953626302,0.39542059488103887,-0.06143025570707714
ARV_0058,-0.34663094006730033,2.6124421260887554e-06,-0.36160950332517694
ARV_0059,-0.010886368157850173,0.8821255546350896,-0.010886798247192134
ARV_0060,0.00731154656564394,0.9206749178982248,0.007311676858446726
ARV_0061,-0.05888627825629797,0.4349296974892205,-0.05895448478396549
ARV_0063,0.032240101041589746,0.7094406339847907,0.03225127839272264
